index;country_code;country_long;name_of_powerplant;latitude;longitude;primary_fuel;start date;owner of plant;capacity_in_MW;estimated_generation_gwh_2021;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031
17883;NOR;Norway;Begna;60,2026;10,2499;Hydro;;;1;3,58;3,58;3,938;4,3318;4,76498;5,241478;5,7656258;6,34218838;6,976407218;7,67404794;8,441452734;9,285598007
17884;NOR;Norway;Bergerfoss;60,2278;10,3753;Hydro;;;3;14,15;14,15;15,565;17,1215;18,83365;20,717015;22,7887165;25,06758815;27,57434697;30,33178166;33,36495983;36,70145581
17885;NOR;Norway;Bergsbotn;69,4332;17,4829;Hydro;;;10;40,77;40,77;44,847;49,3317;54,26487;59,691357;65,6604927;72,22654197;79,44919617;87,39411578;96,13352736;105,7468801
17886;NOR;Norway;Berild;62,4475;7,4875;Hydro;;;17;68,99;68,99;75,889;83,4779;91,82569;101,008259;111,1090849;122,2199934;134,4419927;147,886192;162,6748112;178,9422923
17887;NOR;Norway;Berlifoss;58,9458;8,4821;Hydro;;;13;55,95;55,95;61,545;67,6995;74,46945;81,916395;90,1080345;99,11883795;109,0307217;119,9337939;131,9271733;145,1198906
17888;NOR;Norway;Bessakerfjellet;64,2221;10,3721;Wind;;;58;222,0011782;222,0011782;244,201296;268,6214256;295,4835681;325,031925;357,5351175;393,2886292;432,6174921;475,8792413;523,4671655;575,813882
17889;NOR;Norway;Bingsfoss;59,99;11,2648;Hydro;;;36;145,03;145,03;159,533;175,4863;193,03493;212,338423;233,5722653;256,9294918;282,622441;310,8846851;341,9731536;376,170469
17890;NOR;Norway;Bjelland;58,4068;7,5282;Hydro;;;70;300,51;300,51;330,561;363,6171;399,97881;439,976691;483,9743601;532,3717961;585,6089757;644,1698733;708,5868606;779,4455467
17891;NOR;Norway;Bjerka;66,0627;13,9978;Hydro;;;29;116,84;116,84;128,524;141,3764;155,51404;171,065444;188,1719884;206,9891872;227,688106;250,4569166;275,5026082;303,052869
17892;NOR;Norway;Bjolvo;60,4321;6,4184;Hydro;;;117;487,53;487,53;536,283;589,9113;648,90243;713,792673;785,1719403;863,6891343;950,0580478;1045,063853;1149,570238;1264,527262
