index,country_code,country_long,name_of_powerplant,latitude,longitude,primary_fuel,start date,owner of plant,capacity_in_MW,estimated_generation_gwh_2021
10146,FIN,Finland,Kaihua,66.35,26.85,Hydro,,Rovakairan Tuotanto Oy,5.4,26.31
10147,FIN,Finland,Kaipola,61.8162,25.2353,Biomass,,UPM-Kymmene Oyj,25.0,102.89647356406127
10148,FIN,Finland,Kaitfors,63.5,22.5167,Hydro,,Oy Perhonjoki Ab,7.6,37.9
10149,FIN,Finland,Kaltimo,62.8,30.15,Hydro,,UPM-Kymmene Oyj,32.0,141.78
10150,FIN,Finland,Karjalankoski,62.8924,27.677,Hydro,,Savon Voima Oyj,4.5,25.5
10151,FIN,Finland,Katerma,64.15,28.95,Hydro,,UPM-Kymmene Oyj,11.5,45.02
10152,FIN,Finland,Kattilakoski,63.4667,23.3,Hydro,,Oy HERRFORS Ab,2.1,10.29
10153,FIN,Finland,Kauttua,61.1,22.1667,Biomass,,Adven Oy,19.0,81.24107272635662
10154,FIN,Finland,Kavo,64.2273,27.7285,Biomass,,Kainuun Voima Oy,85.0,319.45048194110774
10155,FIN,Finland,Kellosaari,60.1695,24.9354,Oil,,Helsingin Energia,118.0,438.5551865484833
10156,FIN,Finland,Keltti,60.8833,26.6,Hydro,,UPM-Kymmene Oyj,19.1,93.05
10157,FIN,Finland,Kelukoski,67.4167,26.6,Hydro,,Kemijoki Oy,9.8,50.4
10158,FIN,Finland,Kemi,65.7364,24.5637,Biomass,,MetsÃ¤ Fibre Oy,75.0,283.3581472116
10159,FIN,Finland,Kemi Ajos,65.7364,24.5637,Wind,,Haminan Energia Oy,3.0,23.49333715914424
10160,FIN,Finland,Kerava,60.4034,25.105,Gas,,Keravan Energia Oy,3.7,26.019800590209783
10161,FIN,Finland,Kerava,60.4034,25.105,Biomass,,Keravan LÃ¤mpÃ¶voima Oy,19.04,81.38544206527466
10162,FIN,Finland,Kierikki,65.3333,25.2833,Hydro,,PVO Vesivoima Oy,38.0,149.81650871242132
10163,FIN,Finland,Killinkoski,62.4,23.8667,Hydro,,Killin Voima Oy,4.5,18.19
10164,FIN,Finland,Kiltua,62.8924,27.677,Hydro,,Savon Voima Oyj,5.6,31.81
10165,FIN,Finland,Kirkniemi,60.1843,23.946,Gas,,Sappi Finland Oy,128.0,474.647521277991
10166,FIN,Finland,Kissakoski,61.6,26.7333,Hydro,,SUUR-SAVON SÃHKÃ Oy,1.6,7.5
10167,FIN,Finland,Kokkola,63.8333,23.0333,Biomass,,Kokkolan Energia Oy,30.0,120.94264092881514
10168,FIN,Finland,Kokkola,63.8333,23.0333,Biomass,,Kokkolan Voima Oy,19.5,83.04568946283202
10169,FIN,Finland,Kokkola tv 1 ja 2,63.8333,23.0333,Wind,,Innopower Oy,2.0,19.884103686193463
10170,FIN,Finland,Kokkosniva,67.1108,27.5106,Hydro,,Kemijoki Oy,25.0,129.22
10171,FIN,Finland,Kolsi,61.2565,22.3564,Hydro,,Kolsin Vesivoimantuotanto Oy,45.0,174.6
10172,FIN,Finland,Koneharju kt,60.9827,25.6615,Gas,,Lahti Energia Oy,4.6,29.268110715865475
10173,FIN,Finland,Korkeakoski,61.7971,24.3723,Hydro,,Kolsin Vesivoimantuotanto Oy,8.5,32.84
10174,FIN,Finland,Koskensaari,61.7667,28.7667,Oil,,Helsingin Rauta Oy,1.2,16.996716907832845
10175,FIN,Finland,Kotka,60.4667,26.9167,Biomass,,Kotka Mills Oy,72.0,272.5304467927477
10176,FIN,Finland,Kuhankoski,60.9,26.6333,Hydro,,Koskienergia Oy,3.2,14.2
10177,FIN,Finland,Kuokkastenkoski,63.5333,28.9667,Hydro,,Pohjois-Karjalan SÃ¤hkÃ¶ Oy,2.0,9.11
10178,FIN,Finland,Kuopio  Savon Sellu,62.8799,27.6768,Biomass,,Savon Sellu OY,20.5,86.65492293578279
10179,FIN,Finland,Kurittukoski,67.4167,26.6,Hydro,,Kemijoki Oy,15.0,78.02
10180,FIN,Finland,Kurkiaska,67.4167,26.6,Hydro,,Kemijoki Oy,27.0,117.31
10181,FIN,Finland,Kuusamo,65.9667,29.1833,Biomass,,Adven Oy,6.0,34.32103757799656
10182,FIN,Finland,Kuusankoski bv,60.9,26.6333,Biomass,,Kymin Voima Oy,76.0,286.96738068455073
10183,FIN,Finland,Kuusankoski ve,60.9,26.6333,Hydro,,UPM-Kymmene Oyj,30.0,127.48
10184,FIN,Finland,Lappeenranta  Kaukaan tehdas,61.0587,28.1887,Biomass,,Kaukaan Voima Oy,119.0,442.16442002143407
10185,FIN,Finland,Lappeenranta TG9,61.0587,28.1887,Biomass,,UPM-Kymmene Oyj,67.3,255.567049469879
10186,FIN,Finland,Lappeenranta kombi,61.0587,28.1887,Gas,,UPM-Kymmene Oyj,26.3,107.58847707889728
10187,FIN,Finland,Leppikoski,64.2,24.5,Hydro,,Fortum Power & Heat   Generation,21.0,90.45
10188,FIN,Finland,Leuhunkoski,64.2,29.5833,Hydro,,Vattenfall Sähköntuotanto oy,3.2,13.21
10189,FIN,Finland,Lieksankoski,63.3667,30.7,Hydro,,Kemijoki Oy,16.0,80.6
10190,FIN,Finland,Lielahti,61.4991,23.7871,Gas,,Tampereen Sähkölaitos,142.0,525.1767898993019
10191,FIN,Finland,Loviisa Y1,60.3708,26.3468,Nuclear,,Fortum Power & Heat   Power,992.0,3593.02524190746
10192,FIN,Finland,Loviisa kt,60.3722,26.3472,Other,,Fingrid Oyj,40.0,157.03497565832288
10193,FIN,Finland,Lumijoki,64.8374,25.1861,Wind,,Lumituuli Oy,1.6,18.440410297013155
10194,FIN,Finland,Maalismaa,65.3333,25.2833,Hydro,,PVO Vesivoima Oy,38.5,151.62112544889672
10195,FIN,Finland,Maavesi,62.26,27.5436,Hydro,,Savon Voima Oyj,1.9,8.25
10196,FIN,Finland,Mankala,60.8949,26.3387,Hydro,,Oy Mankala Ab,30.0,127.28
10197,FIN,Finland,Martinlaakso,60.2833,24.8364,Gas,,Vantaan Energia Oy,171.7,632.3710240459399
10198,FIN,Finland,Matarakoski,67.4167,26.6,Hydro,,Kemijoki Oy,11.0,56.58
10199,FIN,Finland,Melo,61.1454,23.5502,Hydro,,PVO Vesivoima Oy,70.0,273.88
10200,FIN,Finland,Meri-Pori,61.6317,21.4068,Coal,,Fortum Power & Heat   Generation,565.0,2051.8825489574792
10201,FIN,Finland,Merikoski,65.0261,25.4706,Hydro,,Oulun Energia,42.0,190.85
10202,FIN,Finland,Mertaniemi 1 ja 2,61.0587,28.1887,Other,,Lappeenrannan LÃ¤mpÃ¶voima Oy,102.0,380.8074509812709
10203,FIN,Finland,Myllykoski,65.9667,29.1833,Hydro,,Koskienergia Koskivoima Oy,1.3,3.93
10204,FIN,Finland,Myllykoski ve,63.0,22.8,Hydro,,Myllykoski Paper Oy,25.0,103.0
10205,FIN,Finland,Myllykoski vp,65.9667,29.1833,Gas,,UPM,32.8,131.04849465307728
10206,FIN,Finland,Naantali  G1  2 ja 3,60.459,22.0545,Gas,,Turun Seudun Energiantuotanto Oy,290.0,1059.3433438960164
10207,FIN,Finland,Naantali kt,60.459,22.0545,Other,,Fingrid Oyj,40.0,157.03497565832288
10208,FIN,Finland,Naistenlahti 2,61.4991,23.7871,Gas,,Tampereen Sähkölaitos,191.2,702.75107676848
10209,FIN,Finland,Nokia kombi,61.4667,23.5,Gas,,LeppÃ¤kosken SÃ¤hkÃ¶ Oy,72.0,272.5304467927477
10210,FIN,Finland,Nuojua,64.5667,26.6667,Hydro,,Fortum Power & Heat   Generation,81.0,354.44
10211,FIN,Finland,Oksava,63.75,25.3333,Hydro,,Vattenfall Sähköntuotanto oy,3.0,10.62
10212,FIN,Finland,Olkiluoto 1,61.2371,21.4433,Nuclear,,Teollisuuden Voima Oyj,1760.0,6364.916549133654
10213,FIN,Finland,Olkiluoto kt,61.2371,21.4433,Other,,Fingrid Oyj,100.5,375.3936007718447
10214,FIN,Finland,Olkiluoto tv,61.2369,21.4408,Wind,,Teollisuuden Voima Oyj,1.0,16.27487021324269
10215,FIN,Finland,Ossauskoski,66.0833,24.8,Hydro,,Kemijoki Oy,124.0,462.51
10216,FIN,Finland,Oulu,65.0124,25.4682,Biomass,,Stora Enso Oyj  Oulun tehdas,105.0,391.6351514001232
10217,FIN,Finland,Oulu T210 ja T213,65.0124,25.4682,Biomass,,Laanilan Voima Oy,28.0,113.7241739829136
10218,FIN,Finland,Oulunsalo Riutunkari tv,64.9346,25.4112,Wind,,Innopower Oy,10.3,49.84074151168489
10219,FIN,Finland,Padinki,64.7,24.5833,Hydro,,Korpelan Voima kuntayhtymÃ¤,1.0,3.4
10220,FIN,Finland,Pahkakoski,65.35,26.0833,Hydro,,PVO Vesivoima Oy,42.1,203.28
10221,FIN,Finland,Palokki,62.4333,28.6,Hydro,,Pohjois-Karjalan SÃ¤hkÃ¶ Oy,6.8,21.59
10222,FIN,Finland,Pamilo,62.8,30.15,Hydro,,Pamilo Oy,85.0,377.23
10223,FIN,Finland,Pankakoski,63.3167,30.15,Hydro,,Kemijoki Oy,15.0,76.2
10224,FIN,Finland,Patalankoski,62.8167,30.4167,Hydro,,UPM-Kymmene Oyj,2.4,13.77
10225,FIN,Finland,Peltokoski,63.85,23.3667,Hydro,,Koskienergia Koskivoima Oy,2.3,9.68
10226,FIN,Finland,Permantokoski,66.5,25.7167,Hydro,,Kemijoki Oy,14.0,71.36
10227,FIN,Finland,Pietarsaari (Wisapower Oy),63.7019,22.7097,Biomass,,UPM-Kymmene Oyj Wisaforest,116.0,431.33671960258175
10228,FIN,Finland,Pirttikoski,66.5,25.7167,Hydro,,Kemijoki Oy,131.0,533.88
10229,FIN,Finland,Pori,61.4833,21.7833,Biomass,,Porin Prosessivoima Oy,81.4,306.45724143848497
10230,FIN,Finland,Portimokoski,61.9,23.05,Hydro,,Tornionlaakson Voima Oy-,11.0,43.56
10231,FIN,Finland,Porttipahta,67.4167,26.6,Hydro,,Kemijoki Oy,35.0,152.07
10232,FIN,Finland,Porvoo,60.3067,25.5506,Oil,,Neste Oil Oy,76.0,286.96738068455073
10233,FIN,Finland,Porvoo Tolkkinen,60.3923,25.6651,Oil,,Fingrid Oyj,40.0,157.03497565832288
10234,FIN,Finland,Porvoo kt 2,60.3067,25.5506,Gas,,Neste Oil Oy,120.6,447.93919357815525
10235,FIN,Finland,Puntarikoski,62.6667,29.6667,Hydro,,Pohjois-Karjalan SÃ¤hkÃ¶ Oy,6.9,22.45
10236,FIN,Finland,Pursiala 2,61.6886,27.2723,Biomass,,EtelÃ¤-Savon Energia Oy,59.7,228.13687507545316
